City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
246,Smirnykh,49.75,142.8333,11.39,71,99,10.22,RU,2022-02-03 04:30:36,overcast clouds
247,Lokoja,7.8024,6.743,72.1,41,50,0.92,NG,2022-02-03 04:30:37,scattered clouds
248,Margate,51.3813,1.3862,47.75,78,100,3.0,GB,2022-02-03 04:29:57,overcast clouds
249,Turukhansk,65.8167,87.9833,-8.64,98,48,5.97,RU,2022-02-03 04:30:38,scattered clouds
250,Wanning,18.8003,110.3967,68.34,79,91,13.24,CN,2022-02-03 04:30:38,overcast clouds
251,Planeta Rica,8.4147,-75.5883,76.24,89,28,7.96,CO,2022-02-03 04:30:38,scattered clouds
252,Myrtle Beach,33.6891,-78.8867,54.03,89,100,8.05,US,2022-02-03 04:30:19,overcast clouds
253,Atoyac,20.0167,-103.5333,64.76,64,0,3.56,MX,2022-02-03 04:30:39,clear sky
254,Nueva Guinea,11.6876,-84.4562,65.66,93,18,3.89,NI,2022-02-03 04:30:39,few clouds
255,Vao,-22.6667,167.4833,79.72,71,100,7.45,NC,2022-02-03 04:30:39,overcast clouds
256,Komagane,35.7296,137.9396,43.34,46,93,5.55,JP,2022-02-03 04:30:40,overcast clouds
257,Broome,42.2506,-75.833,40.37,78,100,1.99,US,2022-02-03 04:30:40,overcast clouds
